,rol,corte,fecha,folio,tramite,descripcion,fecha_ingreso,CLASIFICACION_CORRECTA,CLASIFICACION_NUM
30722,,,,,,Concedida la apelacion de la parte Atr.,,Concede Apelación,9
30727,,,,,,"Retira el solicitud, por aumento injustificado de costos por la isapre",,Retira,27
30729,1809-2023,Antofagasta,04/05/2023,8.0,Resolución,Rectifica inhabilidad,25/04/2023,Ica Informa,16
30737,,,,,,Resolviendo el folio 66: Tgse. por desestimado,,Fallo/Desestima,13
30754,28351-2022,Antofagasta,02/11/2023,13.0,Sentencia,Acogida con costas ges,03/11/2022,Acoge,0
30762,,,,,,A la apelación dc. cuenta,,Dese Cuenta,11
30767,,,,,,Se rechazaa el solicitud con costas repartidas por falta de información proporcionada por la isapre.,,Rechazada,26
30770,,,,,,"La corte inadmis. la recurso, error procesal.",,Inadmisible/Omite,18
30771,,,,,,"Por no cumple lo ordenado, se sancionó con una multa de de 1 a 5 UTM.",,Multa,22
30774,,,,,,cúmplase cs revocada acogiendo el planrevocada sin referirse al plan de salud.,,Cs,10
30779,,,,,,(NC)DSE/Nhl Rep(LALL),,Nhl,23
30799,,,,,,Nota de acuerdo: redacción Emilia Fuentes,,Acuerdo,1
30801,,,,,,(PBEx24)se acoge a tramitación(ST),,Admisibles,3
30821,,,,,,"Debido a negativa de trámite por parte de la isapre, la recurso es declara inadmisiblea.",,Inadmisible/Omite,18
30832,,,,,,Al escrito de la Interv. téngase por enterado que se declara N.H.L.,,Nhl,23
30841,,,,,,solicita informe a la isapre,,Ica Solicita Diligencia,17
30846,,,,,,El ab. int se declara inhábil (por por amistad íntima con el acusado).,,Inhabilidad,20
30854,,,,,,Se declara inhábil Ministro Contreras,,Inhabilidad,20
30867,,,,,,Pide cumplimiento de sentencia en especifico lo referido al folio 5 dentro del 03 días(PB)ofíciese(KZ),,Ica Solicita Diligencia,17
30886,,,,,,al folio 70: dc. cuenta,,Dese Cuenta,11
30892,,,,,,El la presente acción ha sido archivado por falta de información proporcionada por la isapre,,Archivado,6
30912,,,,,,El apelación se ha archivado por aumento injustificado de costos por la isapre,,Archivado,6
30916,,,,,,Se ha rechazao el recurso con costas repartidas por incumplimiento de plazos administrativos por la isapre,,Rechazada,26
30924,2056-2024,Concepción,20/03/2024,8.0,Resolución,"NHL reposición.// Sin perjuicio de lo anterior y no habiendo informado la isapre recurrida, pídase cuenta y reitérese la petición de informe respecto del asunto motivo del presente recurso, dentro del plazo de cinco días hábiles",09/03/2024,Ica Solicita Diligencia,17
30934,1281-2024,Concepción,12/03/2024,7.0,Resolución,Ev. Informe // Pide FUN dentro del plazo de 05 días,08/02/2024,Evacua Informe,12
30949,,,,,,"Acogida la acción, se dispone mantener PB2025 sin alza, sin costas.",,Acoge,0
30954,,,,,,se Teng. por las costas solicitadas pro el recurrente,,Téngase Presente,28
30956,,,,,,certifiquese lo solicitado por la Corte de Apelaciones de de Santiago.,,Certifiquese,8
30958,,,,,,"Debido a falta de información proporcionada por la isapre, la recurso es declara inadmisiblea.",,Inadmisible/Omite,18
30966,32318-2022,Concepción,21/06/2024,13.0,Resolución,Al escrito “solicita cumplimiento pago de costas”: No ha lugar. Estese al mérito de autos,22/05/2022,Ica Informa,16
30968,,,,,,Agrégue Extra/A.R. 8-0,,Agréguese A Tabla,4
30973,,,,,,El apelación fue retirado debido a falta de información proporcionada por la isapre.,,Retira,27
30976,,,,,,certificación lo solicitado por la Excelentísima Corte de Apelaciones de Rancagua.,,Certifiquese,8
30981,16913-2023,Santiago,19/03/2024,23.0,Resolución,Ev. Informe SIS // Rija autos en relacion,16/12/2023,Evacua Informe,12
30982,,,,,,La parte retira el solicitud por aumento injustificado de costos por la isapre ,,Retira,27
30989,,,,,,"Prescinden, de la Den., por no presentar pruebas.",,Prescinde,25
30991,3389-2020,Valparaíso,28/05/2021,28.0,Resolución,Pago de costas,31/01/2020,Téngase Presente,28
30993,18651-2024,Concepción,13/12/2024,21.0,Resolución,Pide informe cumplimiento de setencia,21/08/2024,Ica Solicita Diligencia,17
30995,,,,,,El la presente acción ha sido archivado por negativa de trámite por parte de la isapre.,,Archivado,6
31002,6429-2023,Antofagasta,29/08/2023,7.0,Resolución,Agréguese Extraordinariamente a la tabla del 31 de agosto // Ev. Informe. En relación,07/08/2023,Agréguese A Tabla,4
31006,,,,,,Al folio 98: comunica articulo n° 125,,Art / Numeral,7
31010,,,,,,El inicio del recurso es por tramitación.,,Inicio Tramitación,21
31030,,,,,,Se ha retirado el la presente acción por desistimiento,,Retira,27
31039,,,,,,Se ordena apercibimiento a la parte para que cumpla en plazo Aper..,,Apercibe,5
31043,,,,,,d-cuenta lo solicitado por la corte de Corte Apel.,,Dese Cuenta,11
31064,1520-2024,San Miguel,16/04/2024,7.0,Resolución,Concede ampliación de plazo sin especificar cuanto asi que asumo que es por lo que se pidio,26/03/2024,Ica Amplia Plazo,15
31065,,,,,,El ministro de la Corte Suprema se declara inhábil (por por haber intervenido en el caso previamente),,Inhabilidad,20
31066,3004-2024,Valdivia,11/11/2024,2.0,Resolución,"Previo a proveer y para el examen de admisibilidad, de conformidad a lo establecido en los numerales 1 y 2 del Auto Acordado sobre Tramitación y Fallo del Recurso de Protección de Garantías Constitucionales, y atento a los documentos acompañados, acredite su domicilio la recurrente para determinar donde ocurrió u ocurre el acto u omisión ilegal o arbitraria que denuncia o donde se producen sus efectos dentro del término de quinto (5°) día hábil y si no lo hiciere se tendrá por no presentada la acción y se procederá al archivo.",07/11/2024,Archivado,6
31077,,,,,,"El rol 538-2040, Acumulado a 729-2045.",,Acumulación,2
31085,,,,,,cúmplase corte suprema revocada acogiendo el planrevocada sin referirse al plan de salud.,,Cs,10
31095,,,,,,"Acum. a 366-2035, con 629-2041 de la corte de TEM",,Acumulación,2
31097,18816-2024,Concepción,23/10/2024,21.0,Resolución,Complemente la informe NMV en orden de precisar si se otorgó cobertura del tratamiento correspondiente a los meses de marzo y junio que el recurrente indica no ser cubiertos en un plazo de 08 días hábiles,30/08/2024,Ica Solicita Diligencia,17
31102,,,,,,(TFRN2)aer(KRW,,Evacua Informe,12
31105,,,,,,Teng. por inf Interv.(costas),,Téngase Presente,28
31125,1265-2024,Rancagua,09/05/2024,13.0,Resolución,"Déjese sin efecto la resolución de folio N° 13, que ordeno traer los autos En Relación.// En Relación",,Evacua Informe,12
31127,,,,,,Acum:Protección-614-2023,,Acumulación,2
31130,15366-2024,Santiago,06/06/2024,5.0,Resolución,Previo a admisibilidad cumpla lo requerido por la ICA.,03/06/2024,Ica Solicita Diligencia,17
31157,,,,,,Pide FUN dentro del plazo de 0 dias,,Ica Solicita Diligencia,17
31165,275-2024,Valdivia,21/03/2024,10.0,Resolución,"Rectifica folio 9, indicando primera sala en vez de segunda",02/02/2024,Ica Solicita Diligencia,17
31168,18971-2024,Concepción,15/10/2024,11.0,Resolución,Se suspende el debate: Resolución causa en estudio,12/09/2024,Ica Informa,16
31184,,,,,,"Debido a falta de pruebas, el demanda se rechazaa sin costas.",,Rechazada,26
31185,,,,,,certif. lo solicitado por la Ilma. C.A. de La Serena.,,Certifiquese,8
31187,,,,,,cúmplase revocada si costas.,,Cs,10
31202,13908-2023,Santiago,15/11/2023,17.0,Resolución,"por recibido el informe de la Isapre Nueva Masvida S.A., ordenado en trámite de sala por resolución agregada al folio 14. A sus antecedentes el documento acompañado. Rija el decreto en relación",06/09/2023,Evacua Informe,12
31205,,,,,,(PB) certifíquese Duplicidad (PBD,,Certifiquese,8
31207,,,,,,Por Falta de interés legítimo o parte afectada. a lo solicitado por la corte de Arica téngase por declarado la inad.,,Incompetencia,19
31211,,,,,,"La demanda se considera inadmis.a, discrepancia en el cálculo de planes por la isapre.",,Inadmisible/Omite,18
31215,,,,,,Inicio de tramitacion del solicitud.,,Inicio Tramitación,21
31241,81867-2020,Santiago,11/11/2024,26.0,Resolución,Mero Trámite: Estese a lo resuelto el 28 de agosto,04/09/2020,Ica Informa,16
31244,,,,,,El acción se encuentra archivado por falta de pruebas.,,Archivado,6
31245,12462-2023,Santiago,29/08/2023,15.0,Resolución,Concede ampliación de plazo por el término de 05 días // Dese Cuenta ONI,11/08/2023,Dese Cuenta,11
31247,,,,,,"Se ha retirado, el recurso, por aumento injustificado de costos por la isapre.",,Retira,27
31260,,,,,,A la ampliación: dc cuenta,,Dese Cuenta,11
31261,513-2024,Punta Arenas,04/11/2024,8.0,Resolución,"Como se pide, sólo por el término de seis días hábiles.",21/10/2024,Ica Informa,16
31263,,,,,,Se inhabilita Don Valenzuela,,Inhabilidad,20
31266,,,,,,Se impuso una multa de de 1 a 10 UTM por contaminación ambiental,,Multa,22
31281,,,,,,Se aplicará una multa de de 100 a 300 UTM por incumplimiento en entrega de información a afiliados de isapres.,,Multa,22
31286,1460-2019,Punta Arenas,18/05/2020,29.0,Resolución,Pide Informe Cumpl,04/10/2019,Ica Solicita Diligencia,17
31288,,,,,,(GES2025)C.Recurso/R.R(ma),,Concede Apelación,9
31291,13670-2020,Concepción,16/03/2021,17.0,Resolución,Fija Costas (CMC),26/07/2020,Fija Costas,14
31298,14164-2024,Concepción,22/08/2024,30.0,Resolución,Al escrito F28 Y 29: Espérese a que haya tribunal,16/05/2024,Ica Informa,16
31299,,,,,,concede apelacion ges,,Concede Apelación,9
31323,,,,,,"Por resolución de la Corte de Apelaciones de Punta Arenas, se fijan los tarifas en 15 UF.",,Fija Costas,14
31325,,,,,,n.h.l. lo obrado por la Corte de Apelaciones de de Concepción,,Nhl,23
31330,,,,,,Queda acogido el la presente acción sin costas; Nueva Mas Vida S.A. debe cumplir el PB2025.,,Acoge,0
31333,,,,,,Se acoge acción s/ costas.,,Acoge,0
31337,19739-2023,Valparaíso,12/07/2023,7.0,Resolución,"(1NUEVA) Por Evacuado Informe,",28/06/2023,Evacua Informe,12
31355,,,,,,"Debido a incumplimiento de cobertura por parte de la isapre, el la presente acción se rechazaa con costas al demandante.",,Rechazada,26
31361,1086-2024,Chillan,05/12/2024,9.0,Resolución,Concede Ampliación Plazo por el término de 08 días,16/11/2024,Ica Amplia Plazo,15
31366,,,,,,"Se acoge el apelación s/ costas, obligando a Nueva Mas Vida S.A. a respetar el TFRN2.",,Acoge,0
31367,,,,,,"El rol 893-2022, tengase por acumulado 284-2000.",,Acumulación,2
31379,358-2024,Chillan,01/04/2024,5.0,Resolución,PB/Interpuesto Recurso de Prot,28/03/2024,Admisibles,3
31380,,,,,,"Atendido el tiempo transcurrido, se hace efectivo el Apercibimiento decretado.",,Apercibe,5
31407,,,,,,"El rol 647-2017, tgse acumla 869-2016.",,Acumulación,2
31410,,,,,,La solicitud es declara inadmisiblea por aumento injustificado de costos por la isapre,,Inadmisible/Omite,18
31423,10469-2021,Concepción,19/11/2021,9.0,Resolución,En Relación (luc),03/09/2021,Evacua Informe,12
31428,,,,,,"Se notifica a la parte, bajo Apercibe, que de no responder se procederá a archivar la causa.",,Apercibe,5
31436,,,,,,(PBEx25)Por eva/ Informe(AK duplicidad,,Evacua Informe,12
31468,,,,,,Se acogió el demanda y se ordena a NMV que no aplique alza.,,Acoge,0
31483,,,,,,Se acoge la reclamación y se instruye a NMV restituir los cobros alegados.,,Acoge,0
31496,3118-2018,Concepción,15/01/2021,31.0,Resolución,Fija Costas (CB),19/03/2018,Fija Costas,14
31498,,,,,,Tgs. por informado el numeral °14,,Art / Numeral,7
31508,,,,,,(PBEx25)prescindió inf.)(HJ),,Prescinde,25
31515,1439-2024,Rancagua,10/05/2024,10.0,Resolución,Por acompañado el documento.,30/04/2024,Téngase Presente,28
31539,,,,,,agréguese. 17-7,,Agréguese A Tabla,4
31540,,,,,,"Acógese la demanda contra NMV sin costas, respecto del TF.",,Acoge,0
31550,,,,,,cfrt. lo solicitado por la Corte de de Chillán.,,Certifiquese,8
31551,,,,,,Según lo informado por Fcal. en el folio 65: No ha lugar,,Nhl,23
31555,5503-2024,San Miguel,07/01/2025,16.0,Resolución,inhab Min/ab int. 19N°3,28/11/2024,Inhabilidad,20
31562,108153-2022,Valparaíso,04/12/2023,14.0,Resolución,A lo principal: Téngase presente lo que en derecho corresponda.. Al primer otrosí: Por acompañado.,05/06/2022,Téngase Presente,28
31567,,,,,,Se declara inad. por Inexistencia de legitimación activa o pasiva en el demandante.,,Incompetencia,19
31569,,,,,,"Al folio 41: por cumplido lo ordenado, rija el estado de acuerdo.",,Acuerdo,1
31574,,,,,,"La corte inadmisible., la petición, incumplimiento de plazos administrativos por la isapre",,Inadmisible/Omite,18
31579,,,,,,Inicio de tramitación del demanda.,,Inicio Tramitación,21
31594,,,,,,El recurso ha sido archivado por falta de pruebas,,Archivado,6
31607,,,,,,La comisión de infringir leyes laborales se multa con de 5 a 25 UTM.,,Multa,22
31625,,,,,,"Se acoge el acción sin costas, obligando a NMV a respetar el PBEx26.",,Acoge,0
31631,6960-2024,Temuco,28/10/2024,10.0,Resolución,t.pte vista causa// Ev. Informe. En relación,09/10/2024,Evacua Informe,12
31645,,,,,,En vista y consideración lo informado por la Corte de Apelaciones de de Ilustrísima Corte de Apelaciones concédase el recurso vista,,Concede Apelación,9
31651,,,,,,se Téngase por las costas solicitadas pro el recurrente,,Téngase Presente,28
31653,,,,,,(PB2025)aer(FM),,Evacua Informe,12
31657,1728-2024,La Serena,19/11/2024,13.0,Resolución,Rep.rechaza/No ha lugar,30/10/2024,Nhl,23
31661,,,,,,La corte inadmis.  la apelación falta de pruebas.,,Inadmisible/Omite,18
31664,12254-2023,Concepción,04/09/2024,17.0,Resolución,"Atendido el mérito de autos y habiéndose rechazado el presente recurso de protección, sin costas, no ha lugar a lo solicitado",22/06/2023,Ica Informa,16
31670,,,,,,Se impuso una multa de de 500 a 1000 UTM por aumento desproporcionado de planes de isapres,,Multa,22
31673,,,,,,El solicitud se ha archivado por error procesal,,Archivado,6
31683,,,,,,T.P. inf Dndo.(costas),,Téngase Presente,28
31685,,,,,,"Debido a falta de pruebas, el apelación se archiva.",,Archivado,6
31697,,,,,,Se realiza Aperc. y se advierte multa en caso de incumplimiento.,,Apercibe,5
31699,,,,,,El recurso se encuentra archivado por incumplimiento de plazos administrativos por la isapre,,Archivado,6
31701,1360-2024,Concepción,25/04/2024,31.0,Resolución,Suspendida la vista de la causa artículo 9° AA,12/02/2024,Ica Informa,16
31702,,,,,,"Por no cumplir con incumplimiento de normas de protección al consumidor, la multa es de de 10 a 50 UTM.",,Multa,22
31703,47980-2021,Valparaíso,30/11/2021,5.0,Resolución,Ampl. Plazo/Téngase Presente,15/11/2021,Ica Amplia Plazo,15
31708,,,,,,En Rel./Agreg. extraord.7-10-,,Agréguese A Tabla,4
31742,,,,,,Prescinden (de la Dmand.) por no cumplir con la orden judicial.,,Prescinde,25
31745,50995-2019,Concepción,30/12/2020,19.0,Resolución,Fija Costas (PAA),30/10/2019,Fija Costas,14
31747,,,,,,Se ha rechazao el apelación con costas repartidas por no adjuntar los documentos solicitados,,Rechazada,26
31748,,,,,,se certifica lo solicitado por la CA de Talca.,,Certifiquese,8
31769,,,,,,"El recurso es rechazao sin costas, debido a falta de fundamento.",,Rechazada,26
31774,7441-2024,Concepción,29/04/2024,5.0,Resolución,"Para resolver, acompáñese carta de adecuación ofrecida en el segundo otrosí de la presentación dentro de cinco días hábiles, bajo apercibimiento, en caso de incumplimiento, de archivar estos antecedentes.",,Apercibe,5
31792,,,,,,La recurso es omite pronunciamiento sobrea (por incumplimiento de cobertura por parte de la isapre).,,Inadmisible/Omite,18
31793,,,,,,La inhabilidad del ministro de tribunal de alzada se fundamenta en por tener interés directo en el resultado del proceso,,Inhabilidad,20
31794,,,,,,(GES2025)aer(DQM),,Evacua Informe,12
31797,2739-2024,Valparaíso,07/05/2024,5.0,Resolución,"Como se pide, por el plazo solicitado la ampliación de Plazo",03/04/2024,Ica Amplia Plazo,15
31804,,,,,,(NC) Reposición Rechaza(LLQ),,Ica Informa,16
31805,,,,,,Scd. cuenta a la Isapre del informe ordenado remitir,,Ica Solicita Diligencia,17
31806,,,,,,"Se ha retirado, el la presente acción, por incumplimiento de cobertura por parte de la isapre",,Retira,27
31811,,,,,,"Por error procesal, la petición se inadmisible.a.",,Inadmisible/Omite,18
31812,,,,,,El la presente acción se encuentra archivado por aumento injustificado de costos por la isapre.,,Archivado,6
31818,21576-2024,Concepción,02/12/2024,6.0,Sentencia,"Atendido el mérito de los antecedentes, de los cuales aparece que no se ha dado cumplimiento a lo ordenado en la resolución de fecha 25 de noviembre de 2024, dentro del plazo fijado, se hace efectivo el apercibimiento allí decretado y, en consecuencia, se dispone el archivo de estos antecedentes. Regístrese y Archívese en su oportunidad.",21/11/2024,Apercibe,5
31823,20096-2024,Concepción,25/11/2024,10.0,Resolución,"Al escrito “Solicita informe”: No ha lugar, estese al mérito de autos",04/11/2024,Ica Informa,16
31829,,,,,,"Se ha retirado, el la presente acción, por incumplimiento de plazos administrativos por la isapre.",,Retira,27
31841,,,,,,La Corte de Apelaciones de Puerto Montt fija los costos en 400.000 unidades.,,Fija Costas,14
31842,,,,,,El demanda ha sido archivado por por no dar cumplimiento a lo solicitado.,,Archivado,6
31872,,,,,,(PB2024)DSE/Nhl Rep(LALL),,Nhl,23
31884,,,,,,dc cuenta lo solicitado por la corte de Corte de,,Dese Cuenta,11
31895,,,,,,No ha lugar lo obrado por la Ilma. C.A. de Rancagua,,Nhl,23
31897,,,,,,Falta de interés legítimo o parte afectada. es inadmisisble,,Incompetencia,19
31903,,,,,,La Corte de Apelaciones de Puerto Montt manifiesta que los tarifas están fijados en 3 pesos.,,Fija Costas,14
31925,13668-2023,Temuco,11/01/2024,15.0,Resolución,Pasen los antecedentes al Sr. Presidente,26/10/2023,Ica Informa,16
31932,,,,,,Teng. y por desestimadoFallo/Desestima,,Fallo/Desestima,13
31933,,,,,,Al folio n 82: art 125,,Art / Numeral,7
31945,4452-2018,Concepción,06/06/2023,15.0,Resolución,(GES) Aer/Fondo/Extemp (GC),10/04/2018,Evacua Informe,12
31949,,,,,,"El recursose rechazaa con costas repartidas, por pasar del plazo judicial",,Rechazada,26
31952,,,,,,Se notifica Aper. a la parte Impugnante.,,Apercibe,5
31989,,,,,,La inhabilidad del ab. int se basa en por haber emitido opinión pública sobre el caso.,,Inhabilidad,20
32004,3339-2023,Rancagua,05/02/2024,23.0,Resolución,Agréguese extraordinariamente a la tabla del 09 de febrero,15/11/2023,Agréguese A Tabla,4
32011,,,,,,(PB2024)T.pte/v.e.forma (GC),,Téngase Presente,28
32016,,,,,,dcta Orden de no innovar,,Oni,24
32018,,,,,,La Corte de Apelaciones de Concepción determina los cotizaciones en 200.000 unidades.,,Fija Costas,14
32021,,,,,,Se ha retirado el apelación por falta de información proporcionada por la isapre,,Retira,27
32022,48743-2019,Concepción,12/06/2024,30.0,Resolución,"Como se pide, ofíciese a la recurrida a fin que informe dentro de quinto día hábil, la forma en que ha dado cumplimiento al fondo de lo ordenado en la sentencia definitiva, bajo apercibimiento de aplicarle alguna de las medidas contempladas en el numeral 15 del Auto Acordado sobre Tramitación y Fallo del Recurso de Protección de las Garantías Constitucionales. Asimismo, ofíciese a la Isapre recurrida para que indique, dentro del mismo plazo fijado, cómo ha cumplido con el pago de las costas a que fue condenada.",18/10/2019,Apercibe,5
32025,,,,,,"Retira el la presente acción, por discrepancia en el cálculo de planes por la isapre.",,Retira,27
32027,19239-2024,Santiago,11/09/2024,3.0,Resolución,"Se declara admisible, 10 días. Dese Cuenta ONI",09/09/2024,Admisibles,3
32030,,,,,,Pide FUN dentro del plazo de 9 dias,,Ica Solicita Diligencia,17
32035,,,,,,"Por error procesal, se archiva el la presente acción",,Archivado,6
32041,,,,,,Se acogió el solicitud y se ordena a Isapre Banmédica que mantenga las condiciones.,,Acoge,0
32042,,,,,,La parte retira el la presente acción por error procesal ,,Retira,27
32052,,,,,,Agréguese a la 1ra. Sala (WM,,Agréguese A Tabla,4
32056,,,,,,Acumula:401-2005 con 569-2047 de la corte de Copiapó.,,Acumulación,2
32057,,,,,,Tngse. por inadmisible. (la apelación) falta de información proporcionada por la isapre.,,Inadmisible/Omite,18
32061,22366-2024,Concepción,19/12/2024,7.0,Sentencia,Incompetencia (carta cruz blanca),29/11/2024,Incompetencia,19
32063,127056-2022,Concepción,11/06/2024,30.0,Resolución,"Al informe de la recurrida: A lo principal: Atendido el mérito de lo resuelto por la Excma. Corte Suprema con fecha 04 de enero 2024, no ha lugar. Al otrosí: A sus antecedentes, sin perjuicio del estado de la causa.",14/12/2022,Ica Informa,16
32067,,,,,,(PB2024) Presc.Inf Aer (GW),,Prescinde,25
32070,1605-2024,Rancagua,29/05/2024,12.0,Resolución,Por ev Informe / Pase a presid,16/05/2024,Evacua Informe,12
32076,,,,,,Retira  el solicitud por incumplimiento de cobertura por parte de la isapre.,,Retira,27
32087,,,,,,no h a lugar lo obrado por la Ilustrísima Corte de Apelaciones de Talca,,Nhl,23
32092,,,,,,(Plan GES)T.pte/v.e.forma (JBC),,Téngase Presente,28
32099,267-2024,Talca,11/03/2024,11.0,Resolución,No traslada/Dese Cuenta Sala,04/02/2024,Dese Cuenta,11
32104,,,,,,La ica de santiago ha prescindido de la Actor por no dar cumplimiento.,,Prescinde,25
32120,,,,,,Temuco Acum. 114-2031 (con 897-2019).,,Acumulación,2
32124,,,,,,(PB2024)ev.informe/AER(NGJ),,Evacua Informe,12
32139,,,,,,Prescinden (de la Tstgo.rcda) por no comparecer.,,Prescinde,25
32140,342-2024,Chillan,09/05/2024,9.0,Resolución,Reitérese la petición de informe dentro del 5to día,28/03/2024,Ica Solicita Diligencia,17
32144,,,,,,El acción ha sido rechazao con costas repartidas por falta de pruebas,,Rechazada,26
32146,,,,,,Concedida la apelacion de la parte Imputado,,Concede Apelación,9
32155,,,,,,La ica ha prescindido de la Quer. por no presentar pruebas.,,Prescinde,25
32159,,,,,,"El ministro de tribunal de alzada se declara inhábil, por parentesco con la parte interesada.",,Inhabilidad,20
32160,2084-2023,Valdivia,02/11/2023,5.0,Resolución,Deniega O.N.I. // Interpuesto Recurso (M),30/10/2023,Admisibles,3
32164,,,,,,Agrégue Extra/A.R. 3-9,,Agréguese A Tabla,4
32170,,,,,,"Apercibimiento efectivo a la parte Rte., comuníquese y archívese.",,Apercibe,5
32178,19363-2024,Concepción,15/11/2024,12.0,Resolución,Agréguese Extraordinariamente a la tabla del 19 de noviembre // Por cumplido lo ordenado. En Relación,11/10/2024,Agréguese A Tabla,4
32182,,,,,,la corte de Antofagasta de por aceptada la oni.A la resolución del folio 50: aceptada la oni.,,Oni,24
32190,,,,,,La Excelentísima Corte de Apelaciones impone una multa de de 1 a 5 UTMLa multa por no cumplir lo ordenado por SIS es de de 1 a 5 UTM.,,Multa,22
32193,5310-2023,Antofagasta,29/08/2023,10.0,Resolución,Agréguese Extraordinariamente a la tabla del 31 de agosto.,21/07/2023,Agréguese A Tabla,4
32198,13365-2023,Temuco,20/09/2023,3.0,Resolución,Cambio a PR16,13/09/2023,Ica Informa,16
32199,,,,,,La petición es inadmis.a (por error procesal),,Inadmisible/Omite,18
32209,,,,,,La Corte de Apelaciones de Concepción manifiesta que los costos están fijados en 15 dólares.,,Fija Costas,14
32210,,,,,,"Acógese la demanda contra Nueva Mas Vida S.A. sin costas, respecto del PBEx25.",,Acoge,0
32212,21802-2024,Concepción,20/12/2024,9.0,Resolución,Pide cuenta Informe a NMV dentro de 3 días,25/11/2024,Ica Solicita Diligencia,17
32213,,,,,,cúmplaserevocada si costas,,Cs,10
32214,1404-2022,Valparaíso,14/03/2022,12.0,Resolución,Téngase Presente/Cumplimiento,20/10/2022,Téngase Presente,28
32221,,,,,,Se rechazaa el solicitud con costas al demandante por carecer de interés legítimo,,Rechazada,26
32226,5989-2024,Valparaíso,17/10/2024,15.0,Resolución,Ev. Informe.// Acompaña documentos,24/09/2024,Evacua Informe,12
32233,,,,,,acumúlese 842-2030  con 941-2018.,,Acumulación,2
32234,,,,,,La comisión de falta de seguridad laboral se multa con de 5 a 25 UTM.,,Multa,22
32249,,,,,,Se archiva el la presente acción debido a incumplimiento de plazos administrativos por la isapre,,Archivado,6
32252,17750-2020,Rancagua,12/01/2021,11.0,Resolución,Téngase por evacuado el trasl,21/12/2020,Ica Solicita Diligencia,17
32256,,,,,,Se rechazaa el acción con costas por error procesal,,Rechazada,26
32262,,,,,,El la presente acción es retirado (por prescripción),,Retira,27
32275,,,,,,(PB2024)Omite Pronunc(rbf),,Inadmisible/Omite,18
32279,,,,,,"Por incumplimiento en entrega de información a afiliados de isapres, se multó con un rango de de 1 a 10 UTM.",,Multa,22
32289,,,,,,(PBEx26)por eva/informe(YVS,,Evacua Informe,12
32294,,,,,,Prescinden  de la Apldo. por no pagar la fianza.,,Prescinde,25
32296,6472-2023,Temuco,17/11/2023,22.0,Resolución,Designa redactor: Luis Olivares Apablaza,25/05/2023,Acuerdo,1
32299,,,,,,Al folio n 16: art 125,,Art / Numeral,7
32322,,,,,,c.s/incompetencia,,Cs,10
32325,,,,,,Teng. por la certificación por la parte Dmand.,,Certifiquese,8
32329,,,,,,Tribunal Solicitud aclarar los hechos relacionados con el incumplimiento de la sentencia para asegurar el cumplimiento de los plazos legales.,,Ica Solicita Diligencia,17
32342,,,,,,La inhabilidad del fiscal se basa en por tener interés directo en el resultado del proceso.,,Inhabilidad,20
32349,4168-2024,Valparaíso,23/05/2024,6.0,Resolución,"Se declara admisible, 08 días. Hábiles. Concede ONI.",20/05/2024,Admisibles,3
32350,,,,,,Nota de acuerdo: redacción ministra Florencia Araya.,,Acuerdo,1
32363,2074-2023,Talca,13/11/2023,4.0,Resolución,Agréguese a estos antecedentes.,20/12/2023,Ica Informa,16
32376,,,,,,al folio 30: d cuenta,,Dese Cuenta,11
32394,19063-2023,Valparaíso,24/08/2023,18.0,Resolución,Acumulacion vigente del rol 21065-2023 // Acumulación Autos,16/06/2023,Acumulación,2
32397,13267-2023,Temuco,13/09/2023,7.0,Resolución,Dese Cuenta ONI Sala 3,07/09/2023,Dese Cuenta,11
32424,,,,,,Retira el apelación por falta de pruebas.,,Retira,27
32438,,,,,,"Debido a por haber intervenido en el caso previamente, el fiscal se inhabilita.",,Inhabilidad,20
32443,18816-2024,Concepción,04/12/2024,32.0,Resolución,Pase a los ministros del acuerdo,30/08/2024,Acuerdo,1
32451,,,,,,Talca tgse acumla 544-2035 (con 101-2003).,,Acumulación,2
32454,5785-2024,San Miguel,09/01/2025,15.0,Resolución,Ev. Informe. En relación // Ev. Informe. SIS,18/12/2024,Evacua Informe,12
32467,,,,,,"Atendido el tiempo transcurrido, se hace efectivo el Aperc. decretado.",,Apercibe,5
32477,,,,,,Se rechazaa el solicitud con costas repartidas por falta de fundamento,,Rechazada,26
32484,,,,,,La multa por incumplimiento en entrega de información a afiliados de isapres es de de 1 a 5 UTM,,Multa,22
32486,,,,,,"El ministro de la Corte Suprema se declara inhábil, por tener interés directo en el resultado del proceso.",,Inhabilidad,20
32503,,,,,,(TFRN2) certificación Duplicidad (PBD,,Certifiquese,8
32507,,,,,,"La VALD inadmisible., la recurso, prescripción.",,Inadmisible/Omite,18
32514,,,,,,Apercibimiento: se deja constancia en autos de la inacción de Recurrida.,,Apercibe,5
32525,,,,,,Se declara inadmisisble por Inexistencia de legitimación activa o pasiva en el demandante.,,Incompetencia,19
32535,,,,,,Al escrito de la Aplte. téngase por enterado que se declara N.H.L.,,Nhl,23
32547,,,,,,La Corte de Apelaciones de stgo determina los valores en 500.000 unidades.,,Fija Costas,14
32551,18940-2024,Concepción,09/10/2024,8.0,Resolución,Ev. Informe // Pide FUN dentro del plazo de 05 días.,10/09/2024,Evacua Informe,12
32553,,,,,,agréguese. 28-7,,Agréguese A Tabla,4
